F:\new_data\IMG\center_2020_12_30_17_00_43_908.jpg, F:\new_data\IMG\left_2020_12_30_17_00_43_908.jpg, F:\new_data\IMG\right_2020_12_30_17_00_43_908.jpg,0,0,0,7.84E-05
F:\new_data\IMG\center_2020_12_30_17_00_44_012.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_012.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_012.jpg,0,0,0,7.94E-05
F:\new_data\IMG\center_2020_12_30_17_00_44_115.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_115.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_115.jpg,0,0,0,7.77E-05
F:\new_data\IMG\center_2020_12_30_17_00_44_222.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_222.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_222.jpg,0,0,0,7.83E-05
F:\new_data\IMG\center_2020_12_30_17_00_44_325.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_325.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_325.jpg,0,0,0,7.82E-05
F:\new_data\IMG\center_2020_12_30_17_00_44_428.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_428.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_428.jpg,0,0.2891469,0,0.2288678
F:\new_data\IMG\center_2020_12_30_17_00_44_535.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_535.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_535.jpg,0,0.6273429,0,0.9704401
F:\new_data\IMG\center_2020_12_30_17_00_44_636.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_636.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_636.jpg,-0.1082904,0.8925912,0,1.95295
F:\new_data\IMG\center_2020_12_30_17_00_44_740.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_740.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_740.jpg,-0.4643199,0.8571849,0,3.305136
F:\new_data\IMG\center_2020_12_30_17_00_44_846.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_846.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_846.jpg,-0.1691541,0.5620191,0,4.078131
F:\new_data\IMG\center_2020_12_30_17_00_44_953.jpg, F:\new_data\IMG\left_2020_12_30_17_00_44_953.jpg, F:\new_data\IMG\right_2020_12_30_17_00_44_953.jpg,0,0.8313012,0,4.910784
F:\new_data\IMG\center_2020_12_30_17_00_45_058.jpg, F:\new_data\IMG\left_2020_12_30_17_00_45_058.jpg, F:\new_data\IMG\right_2020_12_30_17_00_45_058.jpg,-0.0834435,1,0,6.288194
F:\new_data\IMG\center_2020_12_30_17_00_45_164.jpg, F:\new_data\IMG\left_2020_12_30_17_00_45_164.jpg, F:\new_data\IMG\right_2020_12_30_17_00_45_164.jpg,-0.3402951,1,0,7.399482
F:\new_data\IMG\center_2020_12_30_17_00_45_267.jpg, F:\new_data\IMG\left_2020_12_30_17_00_45_267.jpg, F:\new_data\IMG\right_2020_12_30_17_00_45_267.jpg,-0.03904112,1,0,8.532535
F:\new_data\IMG\center_2020_12_30_17_00_45_372.jpg, F:\new_data\IMG\left_2020_12_30_17_00_45_372.jpg, F:\new_data\IMG\right_2020_12_30_17_00_45_372.jpg,-0.0851118,1,0,9.650343
